Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Aishwarya,CA (Canada),iPhone,0,telugu,Pitta Kathalu,view_video_info,title_results,30/04/21 21:26
Aishwarya,CA (Canada),iPhone,0,upp,Roohi,view_video_info,title_results,13/04/21 22:59
Aishwarya,CA (Canada),iPhone,0,upp,Mandela,view_video_info,title_results,13/04/21 22:59
Aishwarya,CA (Canada),iPhone,0,upp,Uppena,view_video_info,title_results,13/04/21 22:57
Aishwarya,CA (Canada),iPad,0,the debt,The Debt Collector 2,play,video_info,8/4/21 2:54
Aishwarya,CA (Canada),iPad,0,the debt,The Debt Collector 2,view_video_info,title_results,8/4/21 2:54
Aishwarya,CA (Canada),iPhone,0,bobby,Bobby Jasoos,play,video_info,6/3/21 13:44
Aishwarya,CA (Canada),iPhone,0,bobby,Bobby Jasoos,play,video_info,6/3/21 13:44
Aishwarya,CA (Canada),iPhone,0,bobby,Bobby Jasoos,view_video_info,title_results,6/3/21 13:44
Aishwarya,CA (Canada),iPhone,0,tamil movies,Vettai,view_video_info,title_results,17/02/21 3:03
Aishwarya,CA (Canada),iPhone,0,tamil movies,Thaandavam,view_video_info,title_results,17/02/21 2:56
Aishwarya,CA (Canada),iPhone,0,tamil movies,Thambi,view_video_info,title_results,17/02/21 2:56
Aishwarya,CA (Canada),iPhone,0,tamil movies,Asura Guru,view_video_info,title_results,17/02/21 2:56
Aishwarya,CA (Canada),iPhone,0,tamil movies,Vettai,view_video_info,title_results,17/02/21 2:55
Aishwarya,CA (Canada),iPhone,0,tamil movies,Mersal,view_video_info,title_results,17/02/21 2:55
Aishwarya,CA (Canada),Streaming Stick,0,beesh,Bheeshma,play,video_info,1/1/21 5:17
Aishwarya,CA (Canada),Streaming Stick,0,beesh,Bheeshma,view_video_info,title_results,1/1/21 5:17
Aishwarya,CA (Canada),iPhone,0,telugu mov,Miss India,view_video_info,title_results,9/12/20 0:39
Aishwarya,CA (Canada),iPhone,0,anaa,Anaamika,play,video_info,6/12/20 6:29
Aishwarya,CA (Canada),iPhone,0,anaa,Anaamika,view_video_info,title_results,6/12/20 6:29
Aishwarya,CA (Canada),iPhone,0,hindi,Shimla Mirchi,view_video_info,title_results,23/11/20 2:11
Aishwarya,CA (Canada),iPhone,0,telu,Oh! Baby,view_video_info,title_results,23/11/20 2:10
Aishwarya,CA (Canada),Streaming Stick,0,tel,Dorasaani,play,video_info,20/11/20 3:05
Aishwarya,CA (Canada),Streaming Stick,0,tel,Dorasaani,view_video_info,title_results,20/11/20 3:05
