Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Aniketh,20/05/21 20:18,0:12:47,,Who Killed Sara?: Season 2: I Killed Sara (Episode 8),,FireTV 4K Stick 2018,0:35:59,0:35:59,AUS (Australia)
Aniketh,20/05/21 19:56,0:20:56,,Who Killed Sara?: Season 2: I Killed Sara (Episode 8),,FireTV 4K Stick 2018,0:21:10,Not latest view,AUS (Australia)
Aniketh,20/05/21 19:15,0:40:01,,Who Killed Sara?: Season 2: We Were Never Friends (Episode 7),,FireTV 4K Stick 2018,0:40:35,0:40:35,AUS (Australia)
Aniketh,20/05/21 18:34,0:38:50,Autoplayed: user action: User_Interaction; ,Who Killed Sara?: Season 2: This Is Personal (Episode 6),,FireTV 4K Stick 2018,0:38:46,0:38:46,AUS (Australia)
Aniketh,20/05/21 18:11,0:21:23,Autoplayed: user action: User_Interaction; ,Who Killed Sara?: Season 2: The Dead Speak (Episode 5),,FireTV 4K Stick 2018,0:38:06,0:38:06,AUS (Australia)
Aniketh,20/05/21 18:10,0:00:09,Autoplayed: user action: None; ,Trailer 2: Woman in the Window: Context Up Front,TRAILER,FireTV 4K Stick 2018,0:00:09,0:00:09,US (United States)
Aniketh,20/05/21 4:33,0:24:10,,Who Killed Sara?: Season 2: The Dead Speak (Episode 5),,iPhone 12 Pro,0:24:53,Not latest view,AUS (Australia)
Aniketh,20/05/21 3:47,0:36:27,,Who Killed Sara?: Season 2: It's All on You (Episode 4),,Apple TV 3 (revised),0:36:27,0:36:27,AUS (Australia)
Aniketh,20/05/21 3:05,0:40:54,,Who Killed Sara?: Season 2: Collapse (Episode 3),,Apple TV 3 (revised),0:40:54,0:40:54,AUS (Australia)
Aniketh,20/05/21 2:26,0:38:55,,Who Killed Sara?: Season 2: Blood on Their Hands (Episode 2),,Apple TV 3 (revised),0:38:55,0:38:55,AUS (Australia)
Aniketh,20/05/21 1:40,0:38:14,,Who Killed Sara?: Season 2: The Two Faces of Sara (Episode 1),,Apple TV 3 (revised),0:38:14,0:38:14,AUS (Australia)
Aniketh,19/05/21 0:44,0:00:23,Autoplayed: user action: None; ,Hook: Jungle Beat: The Movie,HOOK,FireTV 4K Stick 2018,0:00:23,0:00:23,US (United States)
Aniketh,19/05/21 0:21,0:22:30,,Sardar Ka Grandson,,FireTV 4K Stick 2018,0:29:03,0:29:03,US (United States)
Aniketh,19/05/21 0:20,0:00:23,Autoplayed: user action: None; ,Clip 3: Sardar Ka Grandson,HOOK,FireTV 4K Stick 2018,0:00:23,0:00:23,US (United States)
Aniketh,17/05/21 23:05,1:48:20,,Stowaway,,Apple TV 3 (revised),1:48:10,1:48:10,US (United States)
Aniketh,17/05/21 17:04,0:00:23,Autoplayed: user action: None; ,Hook: Jungle Beat: The Movie,HOOK,iPhone 12 Pro,0:00:23,Not latest view,US (United States)
Aniketh,17/05/21 3:46,0:03:41,Autoplayed: user action: User_Interaction; ,ReVenient Evil: Afterlife,,FireTV 4K Stick 2018,1:30:05,1:30:05,US (United States)
Aniketh,17/05/21 3:46,0:00:08,Autoplayed: user action: None; ,ReVenient Evil: Extinction,,FireTV 4K Stick 2018,0:00:08,0:00:08,US (United States)
Aniketh,17/05/21 3:11,0:02:37,,Designated Survivor (Trailer),TRAILER,FireTV 4K Stick 2018,0:02:37,0:02:37,US (United States)
Aniketh,17/05/21 2:53,0:17:01,,Ragnarok: Season 1: New Boy (Episode 1),,FireTV 4K Stick 2018,0:17:01,0:17:01,US (United States)
Aniketh,17/05/21 2:48,0:01:59,,Ragnarok: Season 1 (Trailer),TRAILER,FireTV 4K Stick 2018,0:01:59,0:01:59,US (United States)
Aniketh,17/05/21 2:48,0:00:28,,Jiu Jitsu_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,0:00:28,0:00:28,US (United States)
Aniketh,17/05/21 2:47,0:00:24,Autoplayed: user action: None; ,Dead Man Down_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,0:00:24,0:00:24,US (United States)
Aniketh,17/05/21 1:48,0:58:17,,ReVenient Evil: Afterlife,,FireTV 4K Stick 2018,1:36:50,Not latest view,US (United States)
Aniketh,17/05/21 1:05,0:33:27,,ReVenient Evil: Afterlife,,FireTV 4K Stick 2018,0:33:27,Not latest view,US (United States)
Aniketh,17/05/21 1:05,0:00:04,,ReVenient Evil: Afterlife_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,0:00:04,0:00:04,US (United States)
